Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,37,375,51,169,602,687,Worcestershire Sauce
Trial 1,36,375,50,169,602,687,Worcestershire Sauce
Trial 1,37,375,50,169,602,687,Worcestershire Sauce
Trial 1,36,375,51,169,600,685,Worcestershire Sauce
Trial 1,36,377,50,170,602,687,Worcestershire Sauce
Trial 1,36,376,50,170,602,686,Worcestershire Sauce
Trial 1,35,378,51,170,604,689,Worcestershire Sauce
Trial 1,36,378,51,171,606,690,Worcestershire Sauce
Trial 1,36,377,51,171,606,691,Worcestershire Sauce
Trial 1,35,376,51,170,602,687,Worcestershire Sauce
Trial 1,36,377,51,170,601,686,Worcestershire Sauce
Trial 1,36,377,50,170,605,688,Worcestershire Sauce
Trial 1,36,378,51,170,602,686,Worcestershire Sauce
Trial 1,36,378,50,172,605,688,Worcestershire Sauce
Trial 1,35,380,50,171,605,690,Worcestershire Sauce
Trial 1,36,377,51,171,603,686,Worcestershire Sauce
Trial 1,36,379,51,171,603,686,Worcestershire Sauce
Trial 1,35,378,51,172,604,687,Worcestershire Sauce
Trial 1,36,381,52,172,608,693,Worcestershire Sauce
Trial 1,36,379,52,170,603,690,Worcestershire Sauce
Trial 1,36,379,51,171,604,687,Worcestershire Sauce
Trial 1,34,380,52,172,607,691,Worcestershire Sauce
Trial 1,36,381,51,172,608,694,Worcestershire Sauce
Trial 1,36,379,51,171,604,687,Worcestershire Sauce
Trial 1,36,380,51,172,603,686,Worcestershire Sauce
Trial 1,36,379,52,172,605,690,Worcestershire Sauce
Trial 1,36,380,52,172,605,689,Worcestershire Sauce
Trial 1,36,380,52,172,604,689,Worcestershire Sauce
Trial 1,36,380,51,172,605,689,Worcestershire Sauce
Trial 1,37,381,51,172,604,687,Worcestershire Sauce
Trial 1,37,381,51,172,604,688,Worcestershire Sauce
Trial 1,37,382,52,173,606,687,Worcestershire Sauce
Trial 1,37,381,51,173,605,688,Worcestershire Sauce
Trial 1,38,383,52,173,607,690,Worcestershire Sauce
Trial 1,36,383,52,173,608,692,Worcestershire Sauce
Trial 1,37,382,52,172,605,689,Worcestershire Sauce
Trial 1,37,382,53,173,605,688,Worcestershire Sauce
Trial 1,37,382,51,172,605,688,Worcestershire Sauce
Trial 1,36,383,52,174,607,690,Worcestershire Sauce
Trial 1,37,383,52,173,606,689,Worcestershire Sauce
Trial 1,37,383,52,173,607,692,Worcestershire Sauce
Trial 1,36,382,50,174,609,694,Worcestershire Sauce
Trial 1,37,383,52,173,605,688,Worcestershire Sauce
Trial 1,37,382,51,174,606,690,Worcestershire Sauce
Trial 1,37,384,52,174,606,690,Worcestershire Sauce
Trial 1,37,382,52,174,606,689,Worcestershire Sauce
Trial 1,37,384,52,175,606,689,Worcestershire Sauce
Trial 1,37,385,52,174,608,693,Worcestershire Sauce
Trial 1,37,384,52,174,606,690,Worcestershire Sauce
Trial 1,36,385,52,175,611,694,Worcestershire Sauce
Trial 1,38,386,52,175,608,690,Worcestershire Sauce
Trial 1,37,384,52,174,606,689,Worcestershire Sauce
Trial 1,37,385,53,175,607,690,Worcestershire Sauce
Trial 1,36,385,53,175,608,691,Worcestershire Sauce
Trial 1,38,387,53,175,610,692,Worcestershire Sauce
Trial 1,37,386,52,176,611,694,Worcestershire Sauce
Trial 1,37,385,52,174,606,689,Worcestershire Sauce
Trial 1,37,387,53,175,610,693,Worcestershire Sauce
Trial 1,37,385,53,175,607,689,Worcestershire Sauce
Trial 1,37,386,53,175,608,691,Worcestershire Sauce
Trial 1,37,387,52,176,608,691,Worcestershire Sauce
Trial 1,37,387,53,176,607,690,Worcestershire Sauce
Trial 1,38,389,53,177,611,693,Worcestershire Sauce
Trial 1,38,387,54,176,607,689,Worcestershire Sauce
Trial 1,37,387,53,176,608,691,Worcestershire Sauce
Trial 1,37,387,53,176,608,691,Worcestershire Sauce
Trial 1,38,388,53,177,609,692,Worcestershire Sauce
Trial 1,37,386,53,176,608,691,Worcestershire Sauce
Trial 1,38,389,54,178,613,697,Worcestershire Sauce
Trial 1,38,389,53,177,613,695,Worcestershire Sauce
Trial 1,37,389,53,177,610,692,Worcestershire Sauce
Trial 1,37,389,53,177,610,690,Worcestershire Sauce
Trial 1,38,387,53,176,609,689,Worcestershire Sauce
Trial 1,38,388,54,177,609,690,Worcestershire Sauce
Trial 1,38,388,53,176,608,689,Worcestershire Sauce
